id_cliente,score_credito,pais,sexo_biologico,idade,anos_de_cliente,saldo,servicos_adquiridos,tem_cartao_credito,membro_ativo,salario_estimado,churn
15634602,619,França,Mulher,42,2,0.0,1,1,1,101348.88,1
15647311,608,Espanha,Mulher,41,1,83807.86,1,0,1,112542.58,0
15619304,502,França,Mulher,42,8,159660.8,3,1,0,113931.57,1
15701354,699,França,Mulher,39,1,0.0,2,0,0,93826.63,0
15737888,850,Espanha,Mulher,43,2,125510.82,1,1,1,79084.1,0
15574012,645,Espanha,Homem,44,8,113755.78,2,1,0,149756.71,1
15592531,822,França,Homem,50,7,0.0,2,1,1,10062.8,0
15656148,376,Alemanha,Mulher,29,4,115046.74,4,1,0,119346.88,1
15792365,501,França,Homem,44,4,142051.07,2,0,1,74940.5,0
15592389,684,França,Homem,27,2,134603.88,1,1,1,71725.73,0
15767821,528,França,Homem,31,6,102016.72,2,0,0,80181.12,0
15737173,497,Espanha,Homem,24,3,0.0,2,1,0,76390.01,0
15632264,476,França,Mulher,34,10,0.0,2,1,0,26260.98,0
15691483,549,França,Mulher,25,5,0.0,2,0,0,190857.79,0
15600882,635,Espanha,Mulher,35,7,0.0,2,1,1,65951.65,0
15643966,616,Alemanha,Homem,45,3,143129.41,2,0,1,64327.26,0
15737452,653,Alemanha,Homem,58,1,132602.88,1,1,0,5097.67,1
15788218,549,Espanha,Mulher,24,9,0.0,2,1,1,14406.41,0
15661507,587,Espanha,Homem,45,6,0.0,1,0,0,158684.81,0
15568982,726,França,Mulher,24,6,0.0,2,1,1,54724.03,0
15577657,732,França,Homem,41,8,0.0,2,1,1,170886.17,0
15597945,636,Espanha,Mulher,32,8,0.0,2,1,0,138555.46,0
15699309,510,Espanha,Mulher,38,4,0.0,1,1,0,118913.53,1
15725737,669,França,Homem,46,3,0.0,2,0,1,8487.75,0
15625047,846,França,Mulher,38,5,0.0,1,1,1,187616.16,0
15738191,577,França,Homem,25,3,0.0,2,0,1,124508.29,0
15736816,756,Alemanha,Homem,36,2,136815.64,1,1,1,170041.95,0
15700772,571,França,Homem,44,9,0.0,2,0,0,38433.35,0
15728693,574,Alemanha,Mulher,43,3,141349.43,1,1,1,100187.43,0
15656300,411,França,Homem,29,0,59697.17,2,1,1,53483.21,0
15589475,591,Espanha,Mulher,39,3,0.0,3,1,0,140469.38,1
15706552,533,França,Homem,36,7,85311.7,1,0,1,156731.91,0
15750181,553,Alemanha,Homem,41,9,110112.54,2,0,0,81898.81,0
15659428,520,Espanha,Mulher,42,6,0.0,2,1,1,34410.55,0
15732963,722,Espanha,Mulher,29,9,0.0,2,1,1,142033.07,0
15794171,475,França,Mulher,45,0,134264.04,1,1,0,27822.99,1
15788448,490,Espanha,Homem,31,3,145260.23,1,0,1,114066.77,0
15729599,804,Espanha,Homem,33,7,76548.6,1,0,1,98453.45,0
15717426,850,França,Homem,36,7,0.0,1,1,1,40812.9,0
15585768,582,Alemanha,Homem,41,6,70349.48,2,0,1,178074.04,0
15619360,472,Espanha,Homem,40,4,0.0,1,1,0,70154.22,0
15738148,465,França,Mulher,51,8,122522.32,1,0,0,181297.65,1
15687946,556,França,Mulher,61,2,117419.35,1,1,1,94153.83,0
15755196,834,França,Mulher,49,2,131394.56,1,0,0,194365.76,1
15684171,660,Espanha,Mulher,61,5,155931.11,1,1,1,158338.39,0
15754849,776,Alemanha,Mulher,32,4,109421.13,2,1,1,126517.46,0
15602280,829,Alemanha,Mulher,27,9,112045.67,1,1,1,119708.21,1
15771573,637,Alemanha,Mulher,39,9,137843.8,1,1,1,117622.8,1
15766205,550,Alemanha,Homem,38,2,103391.38,1,0,1,90878.13,0
15771873,776,Alemanha,Mulher,37,2,103769.22,2,1,0,194099.12,0
15616550,698,Alemanha,Homem,44,10,116363.37,2,1,0,198059.16,0
15768193,585,Alemanha,Homem,36,5,146050.97,2,0,0,86424.57,0
15683553,788,França,Mulher,33,5,0.0,2,0,0,116978.19,0
15702298,655,Alemanha,Homem,41,8,125561.97,1,0,0,164040.94,1
15569590,601,Alemanha,Homem,42,1,98495.72,1,1,0,40014.76,1
15760861,619,França,Homem,43,1,125211.92,1,1,1,113410.49,0
15630053,656,França,Homem,45,5,127864.4,1,1,0,87107.57,0
15647091,725,Alemanha,Homem,19,0,75888.2,1,0,0,45613.75,0
15623944,511,Espanha,Mulher,66,4,0.0,1,1,0,1643.11,1
15804771,614,França,Homem,51,4,40685.92,1,1,1,46775.28,0
15651280,742,Alemanha,Homem,35,5,136857.0,1,0,0,84509.57,0
15773469,687,Alemanha,Mulher,27,9,152328.88,2,0,0,126494.82,0
15702014,555,Espanha,Homem,33,1,56084.69,2,0,0,178798.13,0
15751208,684,Espanha,Homem,56,8,78707.16,1,1,1,99398.36,0
15592461,603,Alemanha,Homem,26,4,109166.37,1,1,1,92840.67,0
15789484,751,Alemanha,Mulher,36,6,169831.46,2,1,1,27758.36,0
15696061,581,Alemanha,Mulher,34,1,101633.04,1,1,0,110431.51,0
15641582,735,Alemanha,Homem,43,10,123180.01,2,1,1,196673.28,0
15638424,661,Alemanha,Mulher,35,5,150725.53,2,0,1,113656.85,0
15755648,675,França,Mulher,21,8,98373.26,1,1,0,18203.0,0
15703793,738,Alemanha,Homem,58,2,133745.44,4,1,0,28373.86,1
15620344,813,França,Homem,29,6,0.0,1,1,0,33953.87,0
15812518,657,Espanha,Mulher,37,0,163607.18,1,0,1,44203.55,0
15779052,604,Alemanha,Mulher,25,5,157780.84,2,1,1,58426.81,0
15770811,519,França,Homem,36,9,0.0,2,0,1,145562.4,0
15780961,735,França,Mulher,21,1,178718.19,2,1,0,22388.0,0
15614049,664,França,Homem,55,8,0.0,2,1,1,139161.64,0
15662085,678,França,Mulher,32,9,0.0,1,1,1,148210.64,0
15575185,757,Espanha,Homem,33,5,77253.22,1,0,1,194239.63,0
15803136,416,Alemanha,Mulher,41,10,122189.66,2,1,0,98301.61,0
15706021,665,França,Mulher,34,1,96645.54,2,0,0,171413.66,0
15663706,777,França,Mulher,32,2,0.0,1,1,0,136458.19,1
15641732,543,França,Mulher,36,3,0.0,2,0,0,26019.59,0
15701164,506,França,Mulher,34,4,90307.62,1,1,1,159235.29,0
15738751,493,França,Mulher,46,4,0.0,2,1,0,1907.66,0
15805254,652,Espanha,Mulher,75,10,0.0,2,1,1,114675.75,0
15762418,750,Espanha,Homem,22,3,121681.82,1,1,0,128643.35,1
15625759,729,França,Homem,30,9,0.0,2,1,0,151869.35,0
15622897,646,França,Mulher,46,4,0.0,3,1,0,93251.42,1
15767954,635,Alemanha,Mulher,28,3,81623.67,2,1,1,156791.36,0
15757535,647,Espanha,Mulher,44,5,0.0,3,1,1,174205.22,1
15731511,808,França,Homem,45,7,118626.55,2,1,0,147132.46,0
15809248,524,França,Mulher,36,10,0.0,2,1,0,109614.57,0
15640635,769,França,Homem,29,8,0.0,2,1,1,172290.61,0
15676966,730,Espanha,Homem,42,4,0.0,2,0,1,85982.47,0
15699461,515,Espanha,Homem,35,10,176273.95,1,0,1,121277.78,0
15738721,773,Espanha,Homem,41,9,102827.44,1,0,1,64595.25,0
15693683,814,Alemanha,Homem,29,8,97086.4,2,1,1,197276.13,0
15604348,710,Espanha,Homem,22,8,0.0,2,0,0,99645.04,0
15633059,413,França,Homem,34,9,0.0,2,0,0,6534.18,0
15808582,665,França,Mulher,40,6,0.0,1,1,1,161848.03,0
15743192,623,França,Mulher,44,6,0.0,2,0,0,167162.43,0
15580146,738,França,Homem,31,9,82674.15,1,1,0,41970.72,0
15776605,528,Espanha,Homem,36,7,0.0,2,1,0,60536.56,0
15804919,670,Espanha,Mulher,65,1,0.0,1,1,1,177655.68,1
15613854,622,Espanha,Mulher,46,4,107073.27,2,1,1,30984.59,1
15599195,582,Alemanha,Homem,32,1,88938.62,1,1,1,10054.53,0
15812878,785,Alemanha,Mulher,36,2,99806.85,1,0,1,36976.52,0
15602312,605,Espanha,Homem,33,5,150092.8,1,0,0,71862.79,0
15744689,479,Alemanha,Homem,35,9,92833.89,1,1,0,99449.86,1
15803526,685,Alemanha,Homem,30,3,90536.81,1,0,1,63082.88,0
15665790,538,Alemanha,Homem,39,7,108055.1,2,1,0,27231.26,0
15715951,562,França,Homem,42,2,100238.35,1,0,0,86797.41,0
15591100,675,Espanha,Homem,36,9,106190.55,1,0,1,22994.32,0
15609618,721,Alemanha,Homem,28,9,154475.54,2,0,1,101300.94,1
15675522,628,Alemanha,Mulher,30,9,132351.29,2,1,1,74169.13,0
15705512,668,Alemanha,Mulher,37,6,167864.4,1,1,0,115638.29,0
15698028,506,França,Mulher,41,1,0.0,2,1,0,31766.3,0
15661670,524,Alemanha,Mulher,31,8,107818.63,1,1,0,199725.39,1
15600781,699,Alemanha,Homem,34,4,185173.81,2,1,0,120834.48,0
15682472,828,França,Homem,34,8,129433.34,2,0,0,38131.77,0
15580203,674,Espanha,Homem,39,6,120193.42,1,0,0,100130.95,0
15690673,656,França,Mulher,39,6,0.0,2,1,0,141069.88,0
15760085,684,Alemanha,Mulher,48,10,126384.42,1,1,1,198129.36,0
15779659,625,França,Mulher,28,3,0.0,1,0,0,183646.41,0
15627360,432,França,Homem,42,9,152603.45,1,1,0,110265.24,1
15671137,549,França,Mulher,52,1,0.0,1,0,1,8636.05,1
15782688,625,Alemanha,Homem,56,0,148507.24,1,1,0,46824.08,1
15575492,828,França,Mulher,41,7,0.0,2,1,0,171378.77,0
15591607,770,França,Homem,24,9,101827.07,1,1,0,167256.35,0
15740404,758,França,Mulher,34,3,0.0,2,1,1,124226.16,0
15718369,795,Alemanha,Mulher,33,9,130862.43,1,1,1,114935.21,0
15677871,687,França,Homem,38,9,122570.87,1,1,1,35608.88,0
15642004,686,França,Homem,25,1,0.0,2,0,1,16459.37,0
15712543,789,Alemanha,Homem,39,7,124828.46,2,1,1,124411.08,0
15584518,589,Alemanha,Mulher,50,5,144895.05,2,1,1,34941.23,0
15802381,461,Alemanha,Mulher,34,5,63663.93,1,0,1,167784.28,0
15610156,637,França,Homem,40,2,133463.1,1,0,1,93165.34,0
15594408,584,Espanha,Mulher,48,2,213146.2,1,1,0,75161.25,1
15640905,579,Espanha,Mulher,35,1,129490.36,2,0,1,8590.83,1
15698932,756,Alemanha,Homem,44,10,137452.09,1,1,0,189543.9,0
15724944,663,França,Homem,34,7,0.0,2,1,1,180427.24,0
15628145,682,França,Mulher,43,5,125851.93,1,1,1,193318.33,0
15713483,793,Espanha,Homem,52,2,0.0,1,1,0,159123.82,1
15612350,691,França,Mulher,31,5,40915.55,1,1,0,126213.84,1
15800703,485,Espanha,Mulher,21,5,113157.22,1,1,1,54141.5,0
15705707,635,Espanha,Mulher,29,8,138296.94,2,1,0,141075.51,0
15754105,650,França,Homem,37,5,106967.18,1,0,0,24495.03,0
15703264,735,França,Homem,44,9,120681.63,1,1,0,74836.34,0
15794413,416,França,Homem,32,0,0.0,2,0,1,878.87,0
15650237,754,Espanha,Mulher,32,7,0.0,2,1,0,89520.75,0
15759618,535,França,Mulher,48,9,0.0,1,1,0,149892.79,1
15811589,716,Espanha,Homem,42,8,0.0,2,1,0,180800.42,0
15689044,539,França,Homem,37,2,127609.59,1,1,0,98646.22,0
15709368,614,França,Mulher,43,6,0.0,2,1,1,109041.53,0
15679145,706,Espanha,Homem,57,7,0.0,1,1,0,17941.16,1
15655007,758,França,Mulher,33,7,0.0,2,0,0,82996.47,0
15623595,586,Espanha,Mulher,28,2,0.0,2,1,1,92067.35,0
15589975,646,França,Mulher,73,6,97259.25,1,0,1,104719.66,0
15804017,631,Alemanha,Mulher,33,4,123246.7,1,0,0,112687.57,0
15692132,717,Espanha,Mulher,22,6,101060.25,1,0,1,84699.56,0
15641122,684,França,Homem,30,2,0.0,2,1,0,83473.82,0
15630910,800,França,Mulher,49,7,108007.36,1,0,0,47125.11,0
15680772,721,Espanha,Mulher,36,2,0.0,2,1,1,106977.8,0
15658929,683,Espanha,Homem,29,0,133702.89,1,1,0,55582.54,1
